wall_time,step,value
1777283235.789386,1000,-1.7261558771133423
1777283239.985518,2000,-1.4654297828674316
1777283244.7592337,3000,-1.7329497337341309
1777283249.1407835,4000,-1.3249702453613281
1777283254.5701454,5000,-1.8712602853775024
1777283259.3868873,6000,-1.560912013053894
1777283264.5379682,7000,-1.6243884563446045
1777283269.28552,8000,-1.581417441368103
1777283274.4997911,9000,-1.5287786722183228
1777283279.0074553,10000,-1.687125325202942
1777283284.2836843,11000,-1.5754159688949585
1777283288.5429614,12000,-1.7377647161483765
1777283293.5204093,13000,-1.4740384817123413
1777283298.924266,14000,-1.6664974689483643
1777283303.456171,15000,-1.4954109191894531
1777283308.4190087,16000,-1.554743766784668
1777283313.3210087,17000,-1.4832816123962402
1777283317.5770032,18000,-1.7709153890609741
1777283322.7346475,19000,-1.5498822927474976
1777283326.980444,20000,-1.5934339761734009
1777283331.9051538,21000,-1.7676751613616943
1777283336.413903,22000,-1.5915642976760864
1777283340.7239943,23000,-1.3732537031173706
1777283345.749881,24000,-1.5691242218017578
1777283349.7557828,25000,-1.618250846862793
1777283354.3441567,26000,-1.4101009368896484
1777283358.8995013,27000,-1.7360590696334839
1777283363.783633,28000,-1.362762689590454
1777283368.4623487,29000,-1.1986031532287598
1777283373.284725,30000,-1.6773349046707153
1777283377.7329543,31000,-1.5391623973846436
1777283382.4099815,32000,-1.606462001800537
1777283387.198101,33000,-1.6666591167449951
1777283392.4680197,34000,-1.6615450382232666
1777283397.0737371,35000,-1.7349153757095337
1777283401.4424703,36000,-1.6076576709747314
1777283405.581753,37000,-1.849315881729126
1777283409.909344,38000,-1.6492990255355835
1777283414.3385353,39000,-1.6464977264404297
1777283418.5349321,40000,-1.3564881086349487
1777283422.6871467,41000,-1.6286484003067017
1777283427.3800774,42000,-1.5831774473190308
1777283431.4411924,43000,-1.7649966478347778
1777283436.1401174,44000,-1.481782078742981
1777283440.2353284,45000,-1.7020156383514404
1777283444.1675844,46000,-1.7254785299301147
1777283448.9864342,47000,-1.409730076789856
1777283452.9042652,48000,-1.7348828315734863
1777283457.624031,49000,-1.6031160354614258
1777283461.9240565,50000,-1.7786256074905396
1777283466.3501577,51000,-1.8353075981140137
1777283470.7882023,52000,-1.3717762231826782
1777283474.8675637,53000,-1.0606422424316406
1777283479.6016133,54000,-1.2700861692428589
1777283484.135595,55000,-1.3623313903808594
1777283488.0701077,56000,-1.4994592666625977
1777283492.7064,57000,-1.4890592098236084
1777283496.7853594,58000,-1.7874183654785156
1777283501.4740264,59000,-1.6713753938674927
1777283505.3394945,60000,-1.6781392097473145
1777283509.8968582,61000,-1.5629351139068604
1777283514.0610094,62000,-1.5765125751495361
1777283518.6603804,63000,-1.2784193754196167
1777283523.0814803,64000,-1.222475528717041
1777283527.3827248,65000,-1.3068327903747559
1777283531.8155742,66000,-1.7923500537872314
1777283536.0599294,67000,-1.7804542779922485
1777283540.2144716,68000,-1.603176474571228
1777283544.5636516,69000,-1.630384087562561
1777283548.7913594,70000,-1.4570791721343994
1777283553.2799094,71000,-1.7172690629959106
1777283557.8207405,72000,-1.7765158414840698
1777283561.8712816,73000,-1.5165504217147827
1777283566.5719233,74000,-1.5393341779708862
1777283570.5967634,75000,-1.7696597576141357
1777283575.4788222,76000,-1.6127852201461792
1777283579.1308439,77000,-1.4793633222579956
1777283583.6052399,78000,-1.7216224670410156
1777283587.894853,79000,-1.3479194641113281
